code,lon,lat
110101,116.422401,39.934827
110102,116.372514,39.918124
110105,116.449559,39.926375
110106,116.292402,39.864937
110107,116.229613,39.911354
110108,116.305434,39.96549
110109,116.107604,39.946147
110111,116.149444,39.754326
110112,116.663415,39.916017
110113,116.661424,40.136351
110114,116.237618,40.226413
110115,116.348625,39.732555
110116,116.638386,40.322618
110117,117.127379,40.146951
110118,116.849547,40.382176
110119,115.981632,40.462169
120101,117.221467,39.12339
120102,117.258413,39.134487
120103,117.229416,39.115718
120104,117.156515,39.144105
120105,117.203593,39.153485
120106,117.157518,39.173286
120110,117.320569,39.092332
120111,117.01441,39.148727
120112,117.363387,38.944148
120113,117.141403,39.230344
120114,117.050597,39.389871
120115,117.316601,39.723194
120116,117.717399,39.009416
120117,117.832393,39.336956
120118,116.980469,38.953371
120119,117.414579,40.051509
130102,114.545612,38.043256
130104,114.46742,38.010381
130105,114.469438,38.05712
130107,114.068632,38.070566
130108,114.537583,38.012088
130109,114.853378,38.027817
130110,114.320598,38.091749
130111,114.654576,37.905816
130121,114.151463,38.038386
130123,114.577481,38.151714
130125,114.559607,38.444239
130126,114.389478,38.314629
130127,114.618413,37.62188
130128,115.207404,38.190451
130129,114.392464,37.671667
130130,114.982439,38.185436
130131,113.985435,38.271951
130132,114.532566,37.772339
130133,114.782597,37.761859
130181,115.224451,37.949309
130183,115.050529,38.039491
130184,114.690532,38.349293
130202,118.160607,39.631043
130203,118.206399,39.630661
130204,118.453401,39.739736
130205,118.268608,39.677144
130207,118.090366,39.58154
130208,118.168541,39.838353
130209,118.46646,39.279284
130224,118.680405,39.510045
130225,118.919384,39.431931
130227,118.320384,40.147837
130229,117.745434,39.906592
130281,117.972375,40.195533
130283,118.706457,40.004184
130302,119.617475,39.940413
130303,119.782435,39.984446
130304,119.491526,39.841006
130306,119.251549,39.881414
130321,118.956481,40.412794
130322,119.169375,39.719051
130324,118.899489,39.897958
130402,114.496389,36.586692
130403,114.499433,36.642673
130404,114.479412,36.623325
130406,114.219483,36.425654
130423,114.626427,36.340766
130424,114.676577,36.449796
130425,115.154613,36.291288
130426,113.697584,36.590692
130427,114.380432,36.380359
130430,115.193395,36.817362
130431,114.896586,36.916398
130432,114.954415,36.48978
130433,115.288537,36.553957
130434,114.94545,36.366156
130435,114.963404,36.771545
130481,114.210516,36.702488
130522,114.505443,37.450789
130523,114.518493,37.292858
130524,114.699497,37.488759
130525,114.776616,37.355908
130528,114.925562,37.625612
130529,115.043587,37.227088
130530,115.248547,37.534591
130531,115.149605,37.080457
130532,115.036582,37.069096
130533,115.273618,36.981582
130534,115.674394,37.046375
130535,115.507629,36.87676
130581,115.414529,37.364069
130582,114.509474,36.861127
130602,115.465434,38.883788
130606,115.535488,38.860676
130607,115.328375,38.955441
130608,115.496606,38.771002
130609,115.66248,39.024713
130623,115.720543,39.400334
130624,114.201563,38.855351
130626,115.81441,39.269424
130627,114.559607,38.444239
130628,115.785447,38.706258
130629,115.868631,39.048559
130630,114.700476,39.366272
